Port,Shanghai,Singapore,Yantian,Hong Kong,Ningbo,Pusan,Qingdao Gang,Guangzhou,Mina Jabal Ali,Tianjin,Rotterdam,Kelang,Kao-Hsiung,Dalian,Hamburg,Antwerpen,Xiamen,Tanjung Pelepas,Laem Chabang,Ho Chi Minh,Bremerhaven,Jakarta,Lianyungang,Tokyo,Jawaharlal Nehru,Chiwan,Algeciras,Valencia,Khawr Fakkan,Jeddah,Colombo,Santos,Felixstowe,Manila,Constantinopole,Tanger,Balboa,Gioia Tauro,Port Said,Mina Raysut,Shilong,Vancouver,Marsaxlokk,Yokohama Ko,Nagoya Ko,Durban,Kobe,Colon,Le Havre,Melbourne,Cartagena,St Petersburg,Manzanillo (Mex),Yantai,Gwangyang Hang,Sydney,Fuzhou,Genova,Osaka,Dublin,Mumbai,Puerto Del Callao,Barcelona,Rades,Surabaja,Southampton,Dammam,Chittagong,Guayaquil,Kingston,Karachi,Chennai,Bangkok,Alexandria,Taichung,Mersin,Mundra,Manzanillo (Pan),Buenos Aires,South Riding Point,Taipei,La Spezia,Pulau Pinang,Ashdod,Damietta,Gdynia,Haifa,Nanjing,Puerto Moin,Puerto San Antonio,Marseille,Lazaro Cardenas,Da Chan Bay,Cagliari,Jiangyin,Beirut,Itajai,Veracruz,Goteborg,Buenaventura,Valparaiso,Tauranga,Pasir Gudang,Auckland,Caucedo,Izmir,Cristobal,Montevideo,Paranagua,Djibouti,Al Aqabah,Cape Town,Casablanca,Qasim,Qinhuangdao,Doha,Puerto Limon,Rio Grande,Hakata,Gemlik,Piraievs,Altamira,Puerto Cortes,Thilawa,Tuticorin,Dakar,Dar es Salaam,Navegantes,Liverpool,Aliaga,Douala,Santo Tomas,Sines,Napoli,Hai Phong,Bahia San Vicente,Puerto Cabello,Puerto Barrios,Halifax,Haina,Puerto Quetzal,Port Adelaide,Livorno,Vienna,Port De Salvador,Rio de Janeiro,Puerto Caldera,Sepetiba Bay,Budapest,Paita,Vitoria,Acajutla,Mombasa,Pecem,Port Au Prince,Pipavav Bandar,Santa Marta,Barranquilla,Varna,Corinto,Puerto Castilla,Reykjavik,St John,Progreso,Puerto Plata,Santo Domingo,Sendai,Bratislava,Shimizu,All Other Brazil Ports South of Recife,Eemshaven,All Other Chile Ports,All Other India West Coast Ports,All Other Fiji Islands Ports,Coquimbo,Asuncion,Kleinhuningen,Cebu,Izmit,All Other Vietnam Ports,Semarang,All Other Turkey Mediterranean Ports,All Other Norway Ports,Tema,All Other Nicaragua Caribbean Region Ports,Palembang,Abidjan,San Pedro,Belawan,Davao,All Ports in Cambodia,Klaipeda,Aarhus,Rauma,Koper,Ringaskiddy,Tallinn,Constanta,Riga,Fredericia,Hawaii,Alaska,North Pacific,Central Pacific,South Pacific,East Gulf of Mexico,West Gulf of Mexico,Central Florida,South Atlantic,North Atlantic
Damietta,17031.16,13247.14,15582.45,15582.45,17079.60,17918.99,17918.48,15672.76,6905.58,18357.50,6698.38,12717.82,16142.10,18167.34,7157.46,6648.71,15993.09,13127.22,12696.01,13915.21,6939.44,14214.97,17877.85,18831.71,7726.14,14773.15,4325.40,3625.26,6815.28,1704.91,9189.43,14627.34,6499.20,15900.53,1736.98,4373.84,14485.62,1918.61,50.00,4810.61,16661.67,18057.00,2017.95,18831.71,18837.15,11141.90,18646.99,19886.20,6141.19,25909.45,13877.54,8952.18,13383.38,17779.74,17749.41,9363.21,16471.00,2836.77,18646.99,6281.68,7726.14,17378.13,3287.33,2595.71,15194.84,6239.30,7515.41,11436.39,16064.56,13347.71,6998.14,9788.49,12644.61,289.50,16310.45,907.90,7385.75,13383.38,19299.20,12398.66,16452.17,2836.77,12477.99,477.92,0.00,7856.37,597.83,18708.21,14466.28,19971.54,3244.95,17622.49,15672.76,2616.29,17509.08,529.32,15326.25,14889.77,7537.27,16301.93,19971.54,25550.32,13247.14,25621.79,12451.86,1176.82,14267.60,17640.99,15206.33,3241.47,597.83,14566.18,4784.48,6998.14,18287.26,7416.07,14466.28,16455.13,17920.22,1835.09,1276.67,15078.69,14284.64,12046.27,8990.25,7369.37,7724.91,15326.25,6470.10,1176.82,12810.37,14592.98,4734.81,2257.78,15203.37,20184.73,12972.66,14592.98,9841.13,12640.28,16219.13,23982.83,2885.21,6222.21,12241.13,14017.52,15591.69,14307.01,6809.21,16184.47,13219.27,15979.30,7436.64,11095.20,12720.78,7605.00,13658.28,13609.84,2094.98,15591.69,14065.39,7930.09,9942.20,13951.04,12431.29,12451.86,18184.21,6312.51,18237.59,12049.74,6819.52,19971.54,7118.05,22995.75,19604.51,27699.06,6040.06,16311.68,1925.40,15391.79,14884.77,719.48,9534.64,11002.64,14226.45,13804.33,10264.33,22986.90,12376.91,16860.35,12788.06,8075.62,7348.85,8455.42,2715.12,6261.11,8455.42,2026.47,8455.42,7327.04,18774.69,16978.29,17748.67,18558.96,19208.20,14560.92,13651.28,12737.83,12068.02,11128.06
Gdynia,14784.77,19188.93,16301.27,16301.27,15002.79,13935.12,14791.61,16561.16,14761.95,15061.04,1394.84,19718.26,15475.15,14601.96,935.77,1684.34,15624.16,19308.85,19386.38,18388.95,916.93,19589.82,14961.19,13344.08,15582.51,19271.95,3911.23,4877.37,14671.64,9561.28,17045.80,13212.72,1594.03,16502.97,7712.41,4099.65,11481.57,5937.76,7856.37,12666.97,17760.29,12569.37,6037.10,13344.08,13484.56,18998.27,13604.48,18471.58,1715.17,22706.72,10873.49,1462.12,10379.33,14483.28,14134.31,6359.16,15482.45,5317.62,13604.48,2025.24,15582.51,14374.08,4569.04,5696.19,19499.00,1883.53,15371.78,19292.76,13060.51,10343.66,14854.51,17644.86,19408.19,7666.21,15503.02,8483.29,15242.11,10379.33,17884.58,9394.61,15165.08,5317.62,19337.94,8293.64,7856.37,0.00,8343.31,16189.93,11462.23,16967.49,5046.96,14618.44,16561.16,5436.30,15022.86,8174.96,13911.62,11885.72,1202.23,13297.88,16967.49,20062.69,19188.93,20134.16,9447.81,7384.01,11263.55,16226.36,13791.71,11097.84,8454.20,15628.03,4101.39,14854.51,14891.46,15272.44,11462.23,15040.51,13796.37,7810.52,7015.24,12074.64,11280.59,19902.64,16846.61,6376.21,15581.28,13911.62,2073.68,7384.01,11817.21,11588.93,3501.82,5697.93,17290.90,17180.68,9968.61,11588.93,6796.44,9636.23,13215.08,24283.15,5535.64,4909.94,10826.51,12602.89,12587.64,12892.39,5903.34,13180.42,11804.65,12975.25,15293.01,9680.58,9716.73,15461.36,10654.23,10605.79,8070.41,12587.64,11061.34,3310.43,6938.15,10946.99,9427.24,9447.81,12696.58,5406.64,13973.25,10635.12,1036.84,16967.49,14974.42,17508.12,16600.46,26284.44,5195.91,16732.48,7900.82,17339.34,19738.83,8294.87,3848.33,10009.48,11222.40,19547.44,9271.17,21572.28,19815.86,17239.49,18829.19,526.36,984.21,1006.01,6222.55,2484.32,1006.01,8001.90,935.77,935.77,13287.06,11490.66,12261.04,13071.33,13720.57,11556.87,10647.23,9733.78,9063.97,8124.01
Haifa,17359.56,13575.54,15910.85,15910.85,17408.00,18247.39,18246.88,16001.16,7233.98,18685.90,7185.33,13046.21,16470.50,18495.74,7644.41,7135.66,16321.49,13455.62,13024.41,14243.61,7426.38,14543.36,18206.24,19318.65,8054.54,15260.10,4812.34,4112.21,7143.67,2033.31,9517.83,15114.29,6986.14,16228.93,1925.90,4860.78,14972.57,2405.56,597.83,5139.00,16990.07,18543.95,2504.90,19318.65,19165.55,11470.30,18975.39,20373.15,6628.14,26237.85,14364.48,9439.12,13870.32,18108.13,18077.81,9850.16,16799.40,3323.71,18975.39,6768.63,8054.54,17865.07,3774.27,3082.66,15523.24,6726.25,7843.81,11764.79,16551.51,13834.65,7326.54,10116.89,12973.00,817.08,16638.85,786.25,7714.14,13870.32,19786.14,12885.61,16780.57,3323.71,12806.39,526.36,597.83,8343.31,0.00,19036.60,14953.23,20458.49,3731.90,18109.44,16001.16,3103.23,17837.47,308.33,15813.19,15376.71,8024.21,16788.88,20458.49,26037.26,13575.54,26108.74,12938.81,1365.75,14754.55,18127.93,15693.28,3569.87,786.25,14894.58,5271.42,7326.54,18615.65,7744.47,14953.23,16942.08,18248.62,2024.02,1564.94,15565.64,14771.59,12374.67,9318.64,7856.31,8053.31,15813.19,6957.05,1365.75,13297.32,15079.92,5221.75,2744.72,15531.76,20671.67,13459.61,15079.92,10328.07,13127.22,16706.07,24311.23,3372.16,6709.15,12728.07,14504.46,16078.64,14793.96,7296.16,16671.42,13706.22,16466.25,7765.04,11582.14,13207.73,7933.40,14145.23,14096.79,2283.91,16078.64,14552.34,8417.03,10429.15,14437.98,12918.23,12938.81,18671.15,6799.46,18565.98,12536.69,7306.47,20458.49,7446.45,23482.70,20091.45,28186.01,6527.01,16640.08,2114.32,15720.18,15213.17,597.83,10021.59,11489.59,14713.40,14132.73,10751.27,23473.85,12705.31,17188.75,13116.46,8562.57,7835.79,8942.37,3202.06,6748.05,8942.37,2215.40,8942.37,7813.99,19261.63,17465.24,18235.61,19045.91,19695.15,15047.86,14138.23,13224.77,12554.96,11615.00
Nanjing,1677.05,6279.89,3392.22,3392.22,1895.07,2523.73,1845.40,3652.11,14056.93,2421.43,15613.90,6809.21,2764.79,2263.84,15593.33,15774.46,2715.12,6399.80,6477.34,5479.91,15375.31,6680.78,1635.18,3851.30,11713.60,33093.14,17562.84,18599.68,13966.62,17003.29,9854.97,26021.41,15654.54,3792.60,20445.18,17751.26,20409.36,19758.95,18708.21,13897.60,4851.24,12133.32,19858.29,3851.30,3441.89,20393.49,3392.22,31280.27,15805.29,13154.35,20242.82,16899.95,19748.66,1876.23,2354.15,15827.83,2573.40,19138.81,3392.22,15395.88,11713.60,21885.88,18390.23,19517.39,6788.64,15973.64,14666.75,8306.36,20909.02,19712.99,12652.33,9595.08,6499.14,18997.70,2593.98,19446.01,12560.28,19748.66,30693.26,18763.94,2256.04,19138.81,6428.90,18776.71,18708.21,16189.93,19036.60,0.00,19741.29,24479.29,18868.15,16347.84,3652.11,19257.49,1199.13,18968.10,26720.31,18814.10,15353.50,21909.98,24479.29,14285.21,6279.89,14114.40,19185.40,19885.03,20220.94,29035.05,26600.40,15843.57,18250.36,23817.77,17753.00,12652.33,2383.75,14567.41,19741.29,27849.20,2524.96,20543.29,19984.88,19411.93,20171.27,7336.80,9954.82,20027.82,17373.86,26720.31,15444.32,19885.03,25468.82,19862.94,17153.43,19519.12,4381.85,24438.14,20103.56,19862.94,16165.77,19303.58,18295.03,14730.77,19356.83,20424.00,23635.20,25411.58,18685.61,25701.08,21417.39,20678.23,24613.34,18324.64,17085.59,21786.83,19185.40,12001.87,20122.91,19975.13,20803.19,18685.61,20430.67,14393.69,16307.49,19752.83,18995.25,19185.40,4229.88,20920.70,2982.81,23443.81,15325.64,24479.29,12462.17,12326.68,24112.26,39093.13,19286.03,4022.11,20633.60,4430.29,6829.78,19257.59,13683.24,23661.09,19881.26,6638.40,22922.78,34380.97,6906.81,4768.95,5920.15,16409.18,15205.72,16259.66,20043.74,15615.13,16788.99,20734.68,16788.99,15394.14,11441.15,11054.61,11824.99,12635.29,13284.52,20041.10,20016.56,19103.11,18433.30,17493.34
Puerto Moin,18304.07,22708.23,19820.56,19820.56,18522.09,17454.41,18410.24,20080.45,21371.86,18679.68,10642.90,23237.55,18994.45,18220.60,10763.32,10751.27,19143.46,22828.14,22905.68,21908.25,10545.30,23109.11,18571.76,16863.37,22192.42,25782.52,10140.88,11177.73,21281.55,16171.19,23655.71,12627.51,10601.75,20022.26,14322.32,10288.66,668.07,12547.67,14466.28,19276.88,21279.58,8482.01,12547.67,16863.37,17003.86,22093.98,17123.77,16034.02,10243.75,24578.36,1276.67,12558.04,1545.59,18101.91,17653.60,5103.07,19001.74,12026.87,17123.77,9875.49,22192.42,3253.47,11418.78,12206.77,23018.30,10341.86,21981.69,24734.70,1995.64,1355.43,21464.42,24254.77,22927.48,14276.12,19022.32,15093.20,21852.02,1545.59,15447.01,2067.62,18684.38,12026.87,22857.24,14903.56,14466.28,11462.23,14953.23,19741.29,0.00,5846.88,11856.06,3659.91,20080.45,12046.21,18542.15,14784.87,13326.41,2795.62,10663.98,2504.90,5846.88,19686.53,22708.23,19758.00,2225.15,13993.92,479.65,14028.63,13206.50,17707.75,15064.11,18669.70,10050.07,21464.42,18510.09,21882.35,50.00,14455.30,17315.66,14420.43,13625.15,3083.89,1298.47,23765.13,23456.53,9417.87,22191.19,13326.41,9923.93,13993.92,14858.88,1606.80,9801.72,12407.18,20810.19,6016.47,2506.12,1606.80,4902.65,2273.59,1852.69,26154.78,12244.89,15696.30,10241.30,12017.68,1225.26,12307.18,16689.69,2016.21,11219.44,1612.87,21902.92,7898.69,1815.74,22071.28,1566.16,1348.14,14680.32,1225.26,938.73,8418.26,4594.32,1856.89,2105.24,2225.15,16215.87,16193.00,17492.54,10049.91,10425.39,5846.88,21584.33,17131.96,5479.85,23846.88,14233.24,20251.77,14510.74,20858.63,23258.12,14904.78,11035.27,13051.15,239.83,23066.74,12312.83,17778.05,23335.15,20758.78,22348.49,11681.48,10516.20,12061.29,12931.80,9445.51,12061.29,14611.81,12061.29,10704.62,10924.11,11889.25,8313.65,7205.34,6456.76,3062.81,2604.24,1728.45,2596.94,3704.03
Puerto San Antonio,23042.07,27446.23,24558.57,24558.57,23260.09,22192.42,23148.25,24818.46,26877.12,23417.68,16148.16,27975.56,23732.45,22958.60,16268.59,16256.53,23881.46,27566.15,27643.68,26646.25,16050.56,27847.12,23309.76,21601.38,27697.68,31287.78,15646.14,16682.99,26786.82,21676.45,29160.98,11873.21,16107.02,24760.27,19827.58,15793.92,5822.12,18052.93,19971.54,24782.15,26017.59,13220.01,18052.93,21601.38,21741.86,27177.78,21861.78,11131.42,15749.01,29316.36,6360.47,18063.30,7150.19,22839.92,22391.61,10608.33,23739.75,17532.13,21861.78,15380.75,27697.68,2900.52,16924.04,17712.03,27756.30,15847.12,27486.95,29472.71,4523.64,6860.70,26969.68,29760.03,27665.49,19781.38,23760.32,20598.46,27357.29,7150.19,10544.42,7914.50,23422.38,17532.13,27595.24,20408.82,19971.54,16967.49,20458.49,24479.29,5846.88,0.00,17361.32,8397.92,24818.46,17551.47,23280.16,20290.13,11443.23,8642.50,16169.25,6640.93,50.00,24424.53,27446.23,24496.01,7519.68,19499.18,5803.28,9126.03,11492.90,23213.02,20569.37,23753.50,15555.33,26969.68,23248.10,27387.61,5846.88,10115.66,22053.67,19925.69,19130.41,8930.77,7145.35,28503.14,28961.79,14571.92,27696.45,11443.23,15429.19,19499.18,19942.68,7453.69,15306.98,17912.44,25548.20,815.85,7589.92,7453.69,10466.61,7568.12,6801.43,30892.79,17750.15,21201.56,14528.34,12719.90,6384.73,12430.40,22194.95,3997.29,13558.78,6631.85,27408.18,12982.49,7250.76,27576.54,6649.96,6431.94,20185.58,6384.73,6785.62,13923.52,10198.92,7703.77,7540.26,7519.68,20953.88,21698.26,22230.55,14956.59,15930.65,0.00,27089.59,21869.97,548.16,18944.28,19738.50,24989.78,20016.00,25596.64,27996.13,20410.05,16540.53,18134.95,6086.71,27804.74,17396.63,12875.46,28073.16,25496.79,27086.49,17186.74,16021.47,17566.55,18437.06,14950.77,17566.55,20117.07,17566.55,16209.88,15662.12,16627.25,13051.66,11943.34,11194.77,8909.69,8451.12,7575.34,8443.83,9504.85
Marseille,17462.99,16492.09,18827.40,18827.40,17681.01,16613.34,17469.83,18917.71,10150.53,17739.26,3888.97,15962.76,18153.37,17280.18,4348.05,3839.30,18302.38,16372.17,15940.96,17160.16,4130.03,17459.91,17639.41,16022.30,10971.09,14660.53,1715.17,944.80,10060.22,4949.86,12434.38,12017.12,3689.79,19145.48,3100.99,1763.61,11875.40,1326.34,3244.95,8055.55,19906.62,15247.59,1425.68,16022.30,16162.78,14386.85,16282.70,17275.98,3331.78,25384.94,11267.31,6142.77,10773.15,17161.50,16812.53,6752.99,18160.67,507.52,16282.70,3472.27,10971.09,14767.91,477.92,1125.41,18439.79,3429.89,10760.36,14681.34,13454.34,10737.48,10243.09,13033.44,15889.56,3054.79,18181.24,3871.87,10630.69,10773.15,16688.97,9788.44,17843.30,507.52,15722.94,3682.23,3244.95,5046.96,3731.90,18868.15,11856.06,17361.32,0.00,15012.27,18917.71,865.52,17701.08,3563.54,12716.02,12279.54,4727.86,13691.71,17361.32,22740.91,16492.09,22812.38,9841.64,2772.59,11657.38,15030.76,12596.11,6486.42,3842.78,14010.96,2174.25,10243.09,17569.68,10661.02,11856.06,13844.91,16474.59,3199.10,2403.82,12468.47,11674.42,15291.22,12235.20,4759.14,10969.86,12716.02,3660.69,2772.59,10200.15,11982.75,2124.58,987.17,18448.32,17574.51,10362.44,11982.75,7230.90,10030.06,13608.90,26961.37,725.54,5100.16,9630.91,11407.29,12981.47,11696.79,5716.77,13574.25,10609.05,13369.08,10681.59,8484.97,10110.56,10849.95,11048.06,10999.62,3458.99,12981.47,11455.17,5307.36,7331.98,11340.81,9821.06,9841.64,15374.80,5220.07,16651.47,9439.52,4010.11,17361.32,10363.00,20186.34,16994.28,25088.84,3710.81,19410.70,3289.41,18636.74,18129.72,3683.45,6725.23,8392.42,11616.23,17049.28,7654.10,20376.68,15621.86,19917.71,16033.01,5266.21,4539.44,5646.01,1412.45,3451.70,5646.01,3390.48,5646.01,4517.63,15965.28,14168.88,14939.26,15749.55,16398.79,11950.69,11041.06,10127.60,9457.79,8517.83
Lazaro Cardenas,14910.62,19314.78,16427.11,16427.11,15128.64,14060.96,15016.79,16687.00,24528.08,15286.23,13799.12,19844.10,15601.00,14827.15,13919.54,13907.49,15750.01,19434.69,19512.23,18514.80,13701.51,19715.67,15178.31,13469.92,24748.49,28938.73,13297.10,14333.94,24437.77,19327.41,22889.86,16287.42,13757.97,16628.81,17478.53,13444.88,4327.99,15703.88,17622.49,22433.10,17886.13,5088.56,15703.88,13469.92,13610.41,25753.89,13730.32,18233.84,13399.97,21184.91,4936.58,15714.25,5105.66,14708.46,14260.15,8259.28,15608.29,15183.08,13730.32,13031.70,24748.49,5804.51,14574.99,15362.98,19624.85,13498.08,25137.90,21341.25,4827.65,4945.11,24620.63,22629.97,19534.03,17432.34,15628.87,18249.42,25008.24,5105.66,17646.83,5408.43,15290.93,15183.08,19463.79,18059.77,17622.49,14618.44,18109.44,16347.84,3659.91,8397.92,15012.27,0.00,16687.00,15202.43,15148.70,17941.08,16986.33,2732.73,13820.20,5828.61,8397.92,16293.08,19314.78,16364.55,5885.07,17150.13,4139.57,16228.45,16866.41,20863.97,18220.32,22329.61,13206.28,24620.63,15116.64,25038.56,3659.91,17218.08,13922.21,17576.64,16781.36,3330.55,4089.90,20371.69,22989.71,13077.79,25347.40,16986.33,13080.15,17150.13,18518.79,3781.57,12957.93,15563.39,17416.74,8356.77,6166.04,3781.57,8058.86,5933.51,2213.66,22761.33,15401.11,18852.51,13901.21,15677.60,2604.24,15967.09,19845.91,4596.85,14879.35,2243.27,25059.14,11558.60,5475.66,25036.76,5226.08,5008.06,17836.53,2604.24,4420.03,11574.47,7750.53,3671.46,5694.91,5885.07,12822.42,19349.21,14099.09,13709.82,13581.60,8397.92,24740.54,13738.51,8030.89,26046.70,17389.45,16858.32,17666.95,17465.18,19864.67,18061.00,14191.48,16711.06,3799.89,19673.29,15972.75,19977.87,19941.70,17365.33,18955.04,14837.70,13672.42,15217.50,16088.01,12601.72,15217.50,17768.03,15217.50,13860.84,7530.66,8495.80,4920.20,3811.89,3063.31,3959.73,4477.00,5069.27,5554.48,6860.24
Da Chan Bay,1975.07,3244.44,526.36,526.36,2023.51,2862.90,2862.39,91.65,11021.48,3301.40,15985.13,3773.76,1226.49,3111.25,15964.56,16145.68,936.99,3364.35,3441.89,2444.46,15746.53,3645.33,2821.75,4049.98,8678.15,30445.91,17934.07,18970.91,10931.17,13967.85,6819.52,26392.64,16025.77,1745.55,17409.74,18122.49,20748.52,17591.37,15672.76,10862.15,1199.13,12472.49,17690.71,4049.98,3781.06,17358.04,3590.90,31651.50,16176.52,12691.74,20614.05,17271.17,20119.88,2723.64,2693.32,16199.06,1414.91,18509.53,3590.90,15767.11,8678.15,22225.04,18761.46,18268.47,4104.41,16344.87,11631.30,5270.91,21248.19,20084.22,9616.88,6559.63,3463.69,15962.26,1295.00,16410.57,9524.84,20119.88,31064.49,19135.17,1396.07,18509.53,3393.45,15741.27,15672.76,16561.16,16001.16,3652.11,20080.45,24818.46,18917.71,16687.00,0.00,18289.05,2452.98,15932.65,27091.54,19153.26,15724.73,22249.15,24818.46,13921.94,3244.44,13751.13,19556.63,16849.58,20560.10,29406.28,26971.63,12808.12,15214.91,20782.32,18124.22,9616.88,3231.16,11531.96,20080.45,28220.43,2864.13,17507.85,16949.43,19751.09,20510.43,4301.35,6919.37,20399.04,14338.41,27091.54,15815.55,16849.58,25840.05,20202.10,17524.66,17930.54,1346.40,24777.31,20474.79,20202.10,16537.00,19674.81,18634.20,13103.12,18557.97,20795.23,24006.42,25782.81,19024.77,26072.31,21788.62,21017.39,24984.57,18663.80,14050.14,22158.06,19556.63,8966.42,20494.13,20346.35,17767.74,19024.77,20801.90,14764.92,16678.71,20091.99,19366.47,19556.63,4460.62,21291.92,3181.49,23815.04,15696.86,24818.46,9426.73,11963.41,24451.42,39464.36,19657.25,2256.04,17598.16,1394.84,3794.34,16222.15,14054.47,24032.32,20220.43,3602.95,23294.00,34752.19,3871.36,3202.06,2884.70,16780.41,15576.95,16630.89,18387.88,15986.36,17160.21,17699.23,17160.21,15765.37,11780.31,11393.78,12164.16,12974.45,13623.69,20380.26,20387.79,19474.34,18804.53,17864.57
Cagliari,17852.34,15863.43,18198.74,18198.74,18070.36,17002.68,17859.17,18289.05,9521.87,18128.61,4278.32,15334.10,18542.72,17669.53,4737.40,4228.65,18609.38,15743.51,15312.30,16531.50,4519.37,16831.25,18028.76,16411.64,10342.43,14031.87,1905.33,1205.20,9431.56,4321.20,11805.72,12207.27,4079.13,18516.82,2472.33,1953.77,12065.56,697.68,2616.29,7426.89,19277.96,15636.93,797.02,16411.64,16552.13,13758.19,16672.04,17466.14,3721.13,25774.29,11457.47,6532.11,10963.31,17550.84,17201.87,6943.15,18550.01,726.77,16672.04,3861.61,10342.43,14958.06,867.26,526.36,17811.13,3819.24,10131.70,14052.68,13644.50,10927.64,9614.43,12404.78,15260.89,2426.13,18570.59,3243.21,10002.03,10963.31,16879.13,9978.59,18232.65,726.77,15094.28,3053.56,2616.29,5436.30,3103.23,19257.49,12046.21,17551.47,865.52,15202.43,18289.05,0.00,18090.42,2934.88,12906.18,12469.70,5117.20,13881.86,17551.47,23130.25,15863.43,23201.72,10031.79,2143.93,11847.53,15220.92,12786.27,5857.76,3214.12,14201.12,2364.41,9614.43,17959.02,10032.36,12046.21,14035.07,16863.93,2570.44,1775.16,12658.63,11864.58,14662.56,11606.54,4949.30,10341.20,12906.18,4050.03,2143.93,10390.30,12172.91,2314.74,557.19,17819.65,17764.66,10552.59,12172.91,7421.06,10220.21,13799.06,26599.12,775.21,4831.69,9821.06,11597.45,13171.63,11886.95,5418.69,13764.41,10799.20,13559.23,10052.93,8675.13,10300.72,10221.29,11238.22,11189.78,2830.33,13171.63,11645.33,5510.02,7522.14,11530.97,10011.22,10031.79,15764.14,4922.00,17040.81,9629.68,4399.46,17551.47,9734.34,20575.69,17184.44,25279.00,3930.07,18927.97,2660.75,18008.07,17501.06,3054.79,7114.58,8582.58,11806.39,16420.62,7844.26,20566.83,14993.20,19476.64,15404.35,5655.55,4928.78,6035.36,1324.60,3841.04,6035.36,2761.82,6035.36,4906.98,16354.62,14558.22,15328.60,16138.90,16788.13,12140.85,11231.21,10317.76,9647.95,8707.99
Jiangyin,477.92,5080.76,2193.09,2193.09,695.94,1324.60,1026.07,2452.98,12857.79,1465.09,14446.83,5610.08,1565.66,1274.93,14426.26,14607.39,1515.99,5200.67,5278.21,4280.77,14208.24,5481.64,985.44,2652.17,10514.47,31926.07,16395.77,17432.61,12767.49,15804.16,8655.84,24854.34,14487.47,2593.47,19246.05,16584.19,19210.23,18591.88,17509.08,12698.47,3652.11,10934.19,18691.22,2652.17,2242.76,19194.36,2193.09,30113.20,14638.22,11955.22,19075.75,15732.88,18581.59,887.32,1155.02,14660.76,1374.27,17971.74,2193.09,14228.81,10514.47,20686.75,17223.16,18350.32,5589.50,14806.57,13467.62,7107.23,19709.89,18545.92,11453.20,8395.95,5300.01,17798.57,1394.84,18246.88,11361.15,18581.59,29526.19,17596.87,1056.91,17971.74,5229.77,17577.58,17509.08,15022.86,17837.47,1199.13,18542.15,23280.16,17701.08,15148.70,2452.98,18090.42,0.00,17768.97,25553.24,17614.97,14186.43,20710.85,23280.16,13086.08,5080.76,12915.27,18018.33,18685.90,19021.81,27867.98,25433.33,14644.44,17051.23,22618.64,16585.93,11453.20,1394.84,13368.28,18542.15,26682.13,1325.83,19344.16,18785.74,18212.79,18972.14,6137.66,8755.69,18860.75,16174.72,25553.24,14277.25,18685.90,24301.75,18663.80,15986.36,18352.05,3182.72,23239.01,18936.49,18663.80,14998.70,18136.51,17095.90,13531.64,18189.76,19256.93,22468.13,24244.51,17486.48,24534.01,20250.32,19479.09,23446.27,17125.51,15886.46,20619.76,18018.33,10802.73,18955.84,18808.06,19604.05,17486.48,19263.60,13226.62,15140.42,18553.70,17828.18,18018.33,3030.74,19753.63,1783.68,22276.74,14158.57,23280.16,11263.04,11127.55,22913.13,37926.06,18118.96,2822.98,19434.47,3231.16,5630.65,18058.46,12516.17,22494.02,18682.13,5439.27,21755.71,33213.90,5707.68,3569.82,4721.02,15242.11,14038.65,15092.59,18876.67,14448.06,15621.92,19535.55,15621.92,14227.07,10242.01,9855.48,10625.86,11436.15,12085.39,18841.96,18849.49,17936.04,17266.23,16326.27
