Port,Containers,Capacity
All Other United Arab Emirates Ports,835.5122685,835.5122685
All Other Panama West Coast Region Ports,813.1238296,1000
Port sudan,800,44154.9
Richards Bay,777.1532496,777.1532496
Khawr Fakkan,771.242094,425600
Grand Turks,760.707931,760.707931
Thessaloniki,756.2973699,756.2973699
Port Moresby,755.99,755.99
Vishakhapatnam,752.2597701,752.2597701
Leixoes,739.7535262,739.7535262
Noumea,739,739
Subic Bay,726.5805784,726.5805784
Oranjestand,718.6356897,718.6356897
All Other Brazil Ports North Of Recife,698.1422463,698.1422463
All Other Mexico East Coast Region Ports,662.874892,662.874892
Palermo,623.6787237,623.6787237
Durres,618.74,8000
Samarinda,586.8881973,586.8881973
Alexandria,585.5903274,152000
Luanda,583.99,583.99
Elizabeth,582.29,582.29
St John's,582,2545.6
Bullen Baai,567.3439655,567.3439655
Bremen,559.9381839,559.9381839
Helsingborg,556.3254762,556.3254762
Vila do Conde,547,7842.2
Ancona,540.0145046,540.0145046
Charlotte Amalie,520.1938983,1148.9
Limassol,520.01,28805
Zhongshan,504.7048924,504.7048924
Malabo,485,485
Tamsui,461.921054,461.921054
All Other Bermuda Ports,456.3988581,456.3988581
Nassau,454.5479172,14000
Tilbury,450.8181086,450.8181086
Hamilton,428.8311419,428.8311419
All Other Egypt Mediterranean Region Ports,424.7591811,424.7591811
Gentil,418,418
Christiansted,183.74,183.74
Victoria PEI,429.6483806,429.6483806
Imbituba,373,3060.2
All Other Malta Ports,370.416953,370.416953
Rouseau,367.04,367.04
Swatow,336.4699283,336.4699283
Kingstown,335.25,335.25
Fort De France,36,15923.1
All Other Sicily Ports,289.0218476,289.0218476
Dammam,280.0849765,165500
Mucuripe,278,7980.8
Macau,275.71,275.71
Paranagua,269.736777,78234.6
Basseterre,261.965,261.965
Malaga,261.6489854,261.6489854
Taichung,256.0649321,151400
Brisbane,252.2554186,252.2554186
Lisboa,245.4481746,245.4481746
Lome,245.01,245.01
Grangemouth,239.2096086,239.2096086
Thamesport,230.0092391,230.0092391
Szczecin,220.4466885,220.4466885
Guanta,202,2816.9
Walvis Bay,195.33,195.33
Majuro,187.75,187.75
Matadi,175,175
Latakia,180,180
Vigo,175.9363867,175.9363867
Tomakomai Ko,175.8392265,175.8392265
La Guaira,166,20848.4
Kowloon,162.94859,162.94859
Pago Pago Harbor,152.6733381,152.6733381
Maracaibo,147,4637.1
Aguirre,138.58,138.58
Gustavia,136,136
Fremantle,131.6115227,131.6115227
Panama City,127,21601.2
Castries,118,3208.5
Parham Harbour,115,2545.6
Trieste,114.0875714,114.0875714
Bell,103.4,103.4
Yuzhnyy,100,26000
Pointe A Pitre,92,20194.8
Le Port,89.73,89.73
Blowing Point,82.99,82.99
Nukualofa,76.84,76.84
All Other Bahamas Ports,66.94054837,66.94054837
Cotonou,66,66
Freetown,222.78,222.78
Emden,57.6406954,57.6406954
Benghazi,53.82,53.82
All Other Oman Ports,53.76659102,53.76659102
Bamako,53.39,53.39
Degrad des Cannes,51,51
Muara,50.58,50.58
Kolkata,46.05672062,46.05672062
Fang-Cheng,42.05874104,42.05874104
Papeete,189,189
Novo,40.27,40.27
Vieux Fort,37,1445.6
Nouakchott,32.75,32.75
Banjul,29.01,29.01
Agadir,29.76079618,29.76079618
St George,28.55,28.55
Kota Kinabalu,28.12419663,28.12419663
Montserrat,27.26,27.26
Aden,25,25
Charlestown,23.815,23.815
Itaqui,24,719.5
Kharg Island,973.82,973.82
Mizushima,22.93555128,22.93555128
Malakal Island,22.54,22.54
King Fahd,18.67233177,18.67233177
Yap,15.75,15.75
